Size,Insertion/Deletion Frequency,Search Randomness,Search Prediction,Data Structure
15696,0.654,0.344,256,HASH_MAP
13392,0.279,0.152,14,HASH_MAP
5568,0.928,0.353,45,SEQUENCE
18768,0.782,0.024,338,HASH_MAP
5904,0.246,0.312,88,HASH_MAP
41616,0.867,0.059,464,HASH_MAP
1776,0.074,0.28,21,HASH_MAP
5328,0.555,0.363,4,HASH_MAP
3408,0.568,0.165,22,HASH_MAP
31056,0.647,0.1,102,HASH_MAP
23952,0.998,0.048,344,HASH_MAP
3888,0.81,0.276,19,SINGLY_LINKED_LIST
9168,0.382,0.223,133,HASH_MAP
21648,0.902,0.237,134,HASH_MAP
5904,0.123,0.438,105,HASH_MAP
42768,0.891,0.123,679,HASH_MAP
13104,0.546,0.036,144,HASH_MAP
144,0.012,0.08,3,TREE_MAP
38064,0.793,0.234,514,HASH_MAP
44304,0.923,0.051,557,HASH_MAP
30576,0.637,0.35,604,HASH_MAP
15792,0.658,0.385,174,HASH_MAP
32112,0.669,0.121,229,HASH_MAP
384,0.32,0.101,7,SINGLY_LINKED_LIST
40272,0.839,0.153,83,HASH_MAP
5472,0.912,0.043,53,SINGLY_LINKED_LIST
8688,0.181,0.025,165,HASH_MAP
26352,0.549,0.46,418,HASH_MAP
9168,0.191,0.39,147,HASH_MAP
26928,0.561,0.278,34,HASH_MAP
28464,0.593,0.358,177,HASH_MAP
16752,0.698,0.063,143,HASH_MAP
11664,0.243,0.103,115,HASH_MAP
26928,0.561,0.022,363,HASH_MAP
336,0.007,0.424,3,TREE_MAP
17616,0.367,0.263,212,HASH_MAP
4944,0.103,0.41,55,HASH_MAP
4752,0.198,0.171,41,HASH_MAP
5808,0.484,0.412,52,SINGLY_LINKED_LIST
13008,0.271,0.127,178,SEQUENCE
1872,0.39,0.104,7,SEQUENCE
7056,0.735,0.331,46,SINGLY_LINKED_LIST
24624,0.513,0.308,445,HASH_MAP
13008,0.271,0.29,198,HASH_MAP
4656,0.097,0.022,14,SEQUENCE
5904,0.984,0.281,7,SEQUENCE
4272,0.089,0.141,66,SEQUENCE
17136,0.357,0.13,330,HASH_MAP
17712,0.369,0.143,149,HASH_MAP
336,0.014,0.016,7,TREE_MAP
20112,0.419,0.073,368,HASH_MAP
240,0.625,0.479,3,SINGLY_LINKED_LIST
46128,0.961,0.104,108,HASH_MAP
4848,0.808,0.381,62,SEQUENCE
9744,0.203,0.159,37,HASH_MAP
18672,0.778,0.233,265,HASH_MAP
6096,0.127,0.288,11,SINGLY_LINKED_LIST
48,0.25,0.031,1,SEQUENCE
5232,0.872,0.268,27,SINGLY_LINKED_LIST
21744,0.453,0.191,103,HASH_MAP
768,0.64,0.166,1,SINGLY_LINKED_LIST
19632,0.409,0.167,286,HASH_MAP
23952,0.499,0.391,116,HASH_MAP
7632,0.795,0.299,3,SINGLY_LINKED_LIST
18768,0.782,0.224,353,HASH_MAP
19152,0.399,0.04,250,HASH_MAP
45744,0.953,0.042,319,HASH_MAP
3024,0.126,0.043,40,HASH_MAP
3888,0.162,0.256,65,HASH_MAP
4416,0.736,0.384,60,HASH_MAP
18864,0.393,0.341,381,HASH_MAP
38544,0.803,0.089,638,HASH_MAP
18864,0.786,0.028,305,HASH_MAP
3216,0.536,0.177,13,TREE_MAP
26832,0.559,0.339,483,HASH_MAP
336,0.056,0.117,2,TREE_MAP
4608,0.768,0.204,34,SEQUENCE
5424,0.452,0.012,90,HASH_MAP
41904,0.873,0.416,223,HASH_MAP
13584,0.283,0.259,189,HASH_MAP
4176,0.87,0.377,42,SEQUENCE
12144,0.506,0.19,57,HASH_MAP
10224,0.426,0.08,62,HASH_MAP
10416,0.217,0.397,77,HASH_MAP
9744,0.203,0.421,167,HASH_MAP
33552,0.699,0.325,423,HASH_MAP
4752,0.792,0.302,30,SEQUENCE
42192,0.879,0.421,389,HASH_MAP
37104,0.773,0.049,458,HASH_MAP
2736,0.285,0.377,30,SEQUENCE
9936,0.414,0.455,69,HASH_MAP
20304,0.423,0.46,181,HASH_MAP
8208,0.342,0.464,82,HASH_MAP
9264,0.386,0.475,80,HASH_MAP
5136,0.856,0.377,53,SEQUENCE
10224,0.852,0.287,143,HASH_MAP
40464,0.843,0.394,452,HASH_MAP
17328,0.361,0.351,257,HASH_MAP
16272,0.678,0.465,229,HASH_MAP
144,0.75,0.452,0,SINGLY_LINKED_LIST
1392,0.29,0.341,25,SINGLY_LINKED_LIST
912,0.076,0.099,12,SINGLY_LINKED_LIST
20688,0.862,0.477,357,HASH_MAP
11376,0.474,0.324,147,HASH_MAP
19056,0.794,0.437,132,HASH_MAP
34224,0.713,0.047,180,HASH_MAP
7056,0.147,0.08,16,HASH_MAP
3024,0.504,0.308,43,HASH_MAP
12144,0.506,0.127,243,HASH_MAP
10416,0.434,0.102,43,HASH_MAP
4608,0.768,0.465,89,SINGLY_LINKED_LIST
336,0.07,0.153,2,SEQUENCE
13104,0.546,0.412,185,HASH_MAP
46128,0.961,0.342,740,HASH_MAP
34608,0.721,0.079,274,HASH_MAP
28272,0.589,0.24,487,HASH_MAP
47184,0.983,0.058,94,HASH_MAP
1296,0.216,0.009,25,SINGLY_LINKED_LIST
11952,0.996,0.456,143,HASH_MAP
17616,0.367,0.279,166,HASH_MAP
4176,0.696,0.471,41,HASH_MAP
3984,0.415,0.14,2,SINGLY_LINKED_LIST
38256,0.797,0.309,698,HASH_MAP
144,0.12,0.45,2,SEQUENCE
10032,0.209,0.336,90,HASH_MAP
34992,0.729,0.426,448,HASH_MAP
4848,0.505,0.24,66,HASH_MAP
23376,0.487,0.212,243,HASH_MAP
2928,0.061,0.278,54,HASH_MAP
1008,0.168,0.187,17,SINGLY_LINKED_LIST
1056,0.176,0.214,2,HASH_MAP
1584,0.132,0.382,33,SEQUENCE
34128,0.711,0.403,141,HASH_MAP
3744,0.624,0.462,9,HASH_MAP
24336,0.507,0.242,210,HASH_MAP
48,0.01,0.225,0,SINGLY_LINKED_LIST
9648,0.201,0.039,139,HASH_MAP
3408,0.284,0.448,65,SEQUENCE
44112,0.919,0.079,846,HASH_MAP
41328,0.861,0.11,412,HASH_MAP
13104,0.546,0.121,0,SINGLY_LINKED_LIST
4704,0.784,0.398,71,HASH_MAP
7152,0.745,0.423,147,HASH_MAP
672,0.56,0.476,1,SINGLY_LINKED_LIST
33936,0.707,0.259,610,HASH_MAP
912,0.076,0.206,4,SEQUENCE
4464,0.465,0.169,36,HASH_MAP
19344,0.806,0.332,367,HASH_MAP
4848,0.505,0.46,40,SEQUENCE
48,0.1,0.136,1,SINGLY_LINKED_LIST
816,0.85,0.213,6,SINGLY_LINKED_LIST
528,0.11,0.041,7,TREE_MAP
3696,0.077,0.004,14,HASH_MAP
7536,0.628,0.208,71,HASH_MAP
17616,0.367,0.282,277,HASH_MAP
768,0.64,0.237,12,SEQUENCE
11664,0.486,0.398,70,HASH_MAP
17808,0.371,0.229,223,HASH_MAP
6384,0.133,0.339,102,HASH_MAP
28368,0.591,0.313,418,HASH_MAP
22704,0.946,0.064,436,HASH_MAP
5472,0.912,0.264,104,SINGLY_LINKED_LIST
7632,0.159,0.47,141,HASH_MAP
17328,0.361,0.224,299,HASH_MAP
336,0.035,0.469,3,SEQUENCE
3504,0.292,0.081,58,TREE_MAP
2352,0.245,0.192,44,SINGLY_LINKED_LIST
3216,0.268,0.256,35,HASH_MAP
42192,0.879,0.153,866,HASH_MAP
7824,0.163,0.221,149,HASH_MAP
17904,0.373,0.183,371,HASH_MAP
3888,0.081,0.147,37,SEQUENCE
48,0.025,0.188,1,SINGLY_LINKED_LIST
13776,0.287,0.36,238,HASH_MAP
15984,0.666,0.105,74,HASH_MAP
864,0.72,0.348,11,SINGLY_LINKED_LIST
15024,0.626,0.031,210,HASH_MAP
672,0.56,0.458,9,SINGLY_LINKED_LIST
46896,0.977,0.256,527,SINGLY_LINKED_LIST
8304,0.865,0.344,17,SINGLY_LINKED_LIST
45072,0.939,0.118,567,HASH_MAP
26736,0.557,0.214,308,HASH_MAP
9168,0.191,0.317,175,HASH_MAP
144,0.3,0.262,1,SEQUENCE
22512,0.469,0.243,348,HASH_MAP
816,0.017,0.221,10,HASH_MAP
12432,0.259,0.446,11,HASH_MAP
15792,0.658,0.051,53,SINGLY_LINKED_LIST
2256,0.094,0.08,31,HASH_MAP
2448,0.255,0.088,50,SEQUENCE
20592,0.858,0.059,177,HASH_MAP
3984,0.083,0.418,52,HASH_MAP
4272,0.445,0.065,60,SEQUENCE
1392,0.29,0.191,8,TREE_MAP
10992,0.916,0.057,3,HASH_MAP
25392,0.529,0.479,340,HASH_MAP
1104,0.46,0.052,3,SEQUENCE
2832,0.118,0.206,28,HASH_MAP
6288,0.262,0.432,92,HASH_MAP
20976,0.437,0.309,140,HASH_MAP
144,0.75,0.193,3,SINGLY_LINKED_LIST
4944,0.515,0.443,10,SEQUENCE
912,0.019,0.055,12,TREE_MAP
46992,0.979,0.018,635,HASH_MAP
336,0.07,0.122,6,SEQUENCE
23376,0.487,0.07,222,HASH_MAP
2016,0.336,0.239,40,HASH_MAP
42768,0.891,0.385,464,HASH_MAP
47952,0.999,0.073,327,SINGLY_LINKED_LIST
25776,0.537,0.184,22,HASH_MAP
6576,0.685,0.186,128,HASH_MAP
4032,0.672,0.442,59,SINGLY_LINKED_LIST
1584,0.033,0.329,33,SEQUENCE
2064,0.215,0.099,16,SEQUENCE
5328,0.888,0.181,104,HASH_MAP
9744,0.406,0.456,157,HASH_MAP
3552,0.592,0.054,58,SEQUENCE
7248,0.604,0.409,13,SINGLY_LINKED_LIST
1296,0.108,0.254,18,TREE_MAP
1728,0.288,0.326,15,SEQUENCE
4704,0.784,0.475,9,SINGLY_LINKED_LIST
30864,0.643,0.149,62,HASH_MAP
22896,0.477,0.253,70,HASH_MAP
9072,0.189,0.349,87,HASH_MAP
384,0.064,0.094,6,SINGLY_LINKED_LIST
18864,0.786,0.076,23,HASH_MAP
14064,0.293,0.105,124,HASH_MAP
39024,0.813,0.286,639,HASH_MAP
18288,0.381,0.45,123,HASH_MAP
8304,0.173,0.266,48,HASH_MAP
17328,0.361,0.268,91,HASH_MAP
5376,0.896,0.057,94,HASH_MAP
22704,0.473,0.378,386,HASH_MAP
3888,0.162,0.167,48,HASH_MAP
39024,0.813,0.36,441,HASH_MAP
2064,0.43,0.034,7,HASH_MAP
45456,0.947,0.391,705,HASH_MAP
16656,0.694,0.31,189,HASH_MAP
47664,0.993,0.394,854,SINGLY_LINKED_LIST
42576,0.887,0.158,722,HASH_MAP
1104,0.575,0.418,17,SINGLY_LINKED_LIST
13776,0.574,0.373,267,HASH_MAP
5136,0.428,0.076,6,TREE_MAP
7248,0.151,0.462,41,HASH_MAP
288,0.048,0.389,3,TREE_MAP
2928,0.244,0.21,58,TREE_MAP
384,0.32,0.219,4,SINGLY_LINKED_LIST
14064,0.586,0.471,10,HASH_MAP
1104,0.023,0.269,6,TREE_MAP
7536,0.314,0.272,112,HASH_MAP
43344,0.903,0.192,714,HASH_MAP
5424,0.452,0.436,104,HASH_MAP
16368,0.341,0.318,222,HASH_MAP
11472,0.239,0.368,146,HASH_MAP
2352,0.98,0.306,16,SINGLY_LINKED_LIST
912,0.76,0.451,8,SINGLY_LINKED_LIST
22128,0.461,0.427,231,HASH_MAP
10608,0.221,0.396,17,HASH_MAP
38064,0.793,0.375,6,HASH_MAP
4464,0.372,0.397,44,HASH_MAP
1968,0.41,0.214,25,TREE_MAP
20592,0.858,0.036,358,HASH_MAP
45744,0.953,0.243,98,HASH_MAP
6864,0.143,0.442,85,HASH_MAP
23952,0.998,0.0,465,HASH_MAP
23184,0.483,0.166,318,HASH_MAP
34992,0.729,0.327,611,HASH_MAP
288,0.24,0.319,0,SEQUENCE
6192,0.258,0.177,76,HASH_MAP
17232,0.718,0.452,148,HASH_MAP
3792,0.158,0.161,35,HASH_MAP
7728,0.805,0.338,39,SEQUENCE
3216,0.134,0.223,11,HASH_MAP
38736,0.807,0.064,410,HASH_MAP
4752,0.99,0.467,45,HASH_MAP
27696,0.577,0.169,495,HASH_MAP
24624,0.513,0.143,51,HASH_MAP
8112,0.845,0.253,84,HASH_MAP
20016,0.834,0.193,84,HASH_MAP
6096,0.127,0.48,89,HASH_MAP
11088,0.924,0.258,175,HASH_MAP
32976,0.687,0.138,535,HASH_MAP
624,0.065,0.162,9,TREE_MAP
9168,0.955,0.332,8,HASH_MAP
3168,0.528,0.033,65,TREE_MAP
10992,0.229,0.123,170,HASH_MAP
816,0.085,0.117,13,HASH_MAP
912,0.019,0.304,3,SINGLY_LINKED_LIST
4368,0.728,0.005,65,HASH_MAP
624,0.325,0.127,6,SEQUENCE
528,0.088,0.317,8,SINGLY_LINKED_LIST
22416,0.467,0.331,37,HASH_MAP
19152,0.399,0.062,158,HASH_MAP
2544,0.106,0.29,12,SINGLY_LINKED_LIST
37392,0.779,0.309,65,SINGLY_LINKED_LIST
2736,0.228,0.006,51,SEQUENCE
2736,0.228,0.171,33,HASH_MAP
5664,0.944,0.355,50,SINGLY_LINKED_LIST
14736,0.614,0.075,148,HASH_MAP
2448,0.255,0.414,47,SEQUENCE
35376,0.737,0.159,380,HASH_MAP
22608,0.942,0.113,145,HASH_MAP
4464,0.372,0.232,77,HASH_MAP
144,0.006,0.406,3,HASH_MAP
19344,0.403,0.062,243,HASH_MAP
3408,0.142,0.207,40,HASH_MAP
6192,0.258,0.117,58,HASH_MAP
3984,0.166,0.3,15,SEQUENCE
7824,0.815,0.175,153,HASH_MAP
4848,0.505,0.313,36,SEQUENCE
44976,0.937,0.343,676,HASH_MAP
4176,0.348,0.169,14,HASH_MAP
1776,0.296,0.305,12,SEQUENCE
4272,0.356,0.32,26,SINGLY_LINKED_LIST
1008,0.021,0.48,13,HASH_MAP
432,0.045,0.043,9,TREE_MAP
5808,0.484,0.447,22,HASH_MAP
9168,0.382,0.018,44,HASH_MAP
45744,0.953,0.253,287,HASH_MAP
20016,0.417,0.079,408,HASH_MAP
8112,0.169,0.318,4,SEQUENCE
4176,0.696,0.047,22,HASH_MAP
1056,0.176,0.353,20,SEQUENCE
41904,0.873,0.123,658,HASH_MAP
21552,0.449,0.179,288,HASH_MAP
11664,0.243,0.267,100,HASH_MAP
33744,0.703,0.401,396,HASH_MAP
20496,0.854,0.07,409,HASH_MAP
1104,0.23,0.335,4,SINGLY_LINKED_LIST
9264,0.386,0.041,49,HASH_MAP
432,0.009,0.045,2,SEQUENCE
37392,0.779,0.39,456,HASH_MAP
29424,0.613,0.006,141,HASH_MAP
17328,0.361,0.074,334,HASH_MAP
4752,0.792,0.029,43,HASH_MAP
3936,0.656,0.198,52,HASH_MAP
8784,0.732,0.006,41,HASH_MAP
1872,0.39,0.055,25,SEQUENCE
9648,0.201,0.455,66,HASH_MAP
8496,0.708,0.161,85,HASH_MAP
4752,0.198,0.053,69,HASH_MAP
23856,0.994,0.418,153,HASH_MAP
11664,0.486,0.033,89,HASH_MAP
144,0.6,0.383,3,SINGLY_LINKED_LIST
1104,0.46,0.084,3,SEQUENCE
6096,0.127,0.32,101,HASH_MAP
7152,0.745,0.441,89,HASH_MAP
3408,0.568,0.353,18,SINGLY_LINKED_LIST
22224,0.926,0.46,252,HASH_MAP
7152,0.298,0.034,15,HASH_MAP
32016,0.667,0.443,573,HASH_MAP
13872,0.289,0.476,227,HASH_MAP
9264,0.965,0.209,125,HASH_MAP
1968,0.82,0.268,16,SINGLY_LINKED_LIST
3216,0.134,0.307,44,TREE_MAP
432,0.045,0.272,4,SINGLY_LINKED_LIST
4848,0.202,0.204,85,HASH_MAP
16944,0.706,0.452,302,HASH_MAP
20784,0.866,0.046,144,HASH_MAP
6288,0.524,0.017,15,SINGLY_LINKED_LIST
9552,0.796,0.385,62,HASH_MAP
46896,0.977,0.043,921,SINGLY_LINKED_LIST
15696,0.327,0.239,179,HASH_MAP
1296,0.27,0.328,3,SEQUENCE
33552,0.699,0.172,470,HASH_MAP
4368,0.091,0.286,30,HASH_MAP
14736,0.614,0.245,79,HASH_MAP
10224,0.426,0.13,178,HASH_MAP
3408,0.284,0.094,45,HASH_MAP
32112,0.669,0.376,599,HASH_MAP
10896,0.227,0.4,169,HASH_MAP
14832,0.618,0.079,3,HASH_MAP
1872,0.78,0.006,17,SINGLY_LINKED_LIST
4944,0.206,0.395,83,HASH_MAP
33744,0.703,0.114,274,HASH_MAP
7056,0.735,0.238,23,HASH_MAP
24432,0.509,0.464,163,HASH_MAP
5328,0.222,0.335,24,HASH_MAP
5424,0.226,0.107,107,HASH_MAP
3024,0.063,0.279,33,HASH_MAP
22608,0.942,0.235,58,SINGLY_LINKED_LIST
36144,0.753,0.376,735,HASH_MAP
37872,0.789,0.211,302,HASH_MAP
5616,0.585,0.015,30,HASH_MAP
24624,0.513,0.28,118,HASH_MAP
3888,0.081,0.458,51,HASH_MAP
9264,0.386,0.114,112,HASH_MAP
11856,0.988,0.356,95,SINGLY_LINKED_LIST
46704,0.973,0.141,628,HASH_MAP
37488,0.781,0.243,444,HASH_MAP
1872,0.39,0.088,10,SINGLY_LINKED_LIST
1488,0.155,0.445,29,HASH_MAP
24432,0.509,0.107,95,HASH_MAP
1776,0.74,0.152,21,SEQUENCE
1104,0.23,0.144,1,HASH_MAP
2064,0.172,0.022,11,HASH_MAP
25104,0.523,0.054,206,HASH_MAP
336,0.14,0.109,3,SEQUENCE
1632,0.272,0.27,25,SEQUENCE
2256,0.47,0.169,24,SEQUENCE
3216,0.536,0.458,42,SEQUENCE
1296,0.027,0.303,21,SEQUENCE
912,0.95,0.27,1,SINGLY_LINKED_LIST
4464,0.186,0.261,77,HASH_MAP
5424,0.226,0.458,3,HASH_MAP
42576,0.887,0.061,374,HASH_MAP
2064,0.215,0.077,3,SINGLY_LINKED_LIST
192,0.8,0.135,1,SINGLY_LINKED_LIST
3312,0.69,0.472,11,SEQUENCE
28272,0.589,0.241,10,SINGLY_LINKED_LIST
29808,0.621,0.053,25,HASH_MAP
144,0.012,0.194,2,SEQUENCE
10416,0.217,0.225,214,HASH_MAP
21168,0.441,0.346,133,HASH_MAP
31152,0.649,0.0,84,HASH_MAP
48,0.2,0.07,0,SINGLY_LINKED_LIST
42192,0.879,0.367,268,HASH_MAP
6768,0.141,0.202,58,SEQUENCE
8016,0.167,0.087,138,HASH_MAP
2736,0.114,0.04,23,HASH_MAP
42096,0.877,0.191,276,HASH_MAP
30096,0.627,0.205,270,HASH_MAP
20688,0.431,0.121,305,HASH_MAP
912,0.019,0.119,8,HASH_MAP
23664,0.986,0.385,284,SINGLY_LINKED_LIST
5232,0.218,0.12,42,HASH_MAP
19536,0.814,0.237,321,HASH_MAP
20784,0.433,0.142,217,HASH_MAP
384,0.32,0.248,1,SEQUENCE
3984,0.332,0.399,61,HASH_MAP
47088,0.981,0.306,71,SINGLY_LINKED_LIST
336,0.28,0.04,6,SINGLY_LINKED_LIST
3792,0.316,0.279,71,HASH_MAP
1872,0.156,0.203,33,TREE_MAP
8592,0.716,0.135,111,HASH_MAP
21072,0.439,0.028,410,HASH_MAP
14928,0.622,0.047,99,SEQUENCE
1488,0.031,0.141,3,HASH_MAP
912,0.38,0.051,8,SINGLY_LINKED_LIST
20784,0.433,0.047,380,HASH_MAP
816,0.425,0.298,14,SEQUENCE
43728,0.911,0.314,652,HASH_MAP
1296,0.216,0.256,20,HASH_MAP
47472,0.989,0.206,400,SINGLY_LINKED_LIST
336,0.028,0.178,4,SINGLY_LINKED_LIST
22032,0.459,0.404,213,HASH_MAP
22704,0.473,0.324,454,HASH_MAP
36144,0.753,0.447,121,HASH_MAP
48,0.025,0.431,1,SEQUENCE
5472,0.912,0.402,113,SEQUENCE
5136,0.214,0.212,84,HASH_MAP
3984,0.083,0.309,46,SEQUENCE
43536,0.907,0.092,224,HASH_MAP
39312,0.819,0.478,482,HASH_MAP
624,0.052,0.413,10,SEQUENCE
3792,0.632,0.008,57,HASH_MAP
11376,0.237,0.166,8,HASH_MAP
14352,0.598,0.256,163,HASH_MAP
19344,0.403,0.477,308,HASH_MAP
29424,0.613,0.46,63,HASH_MAP
1248,0.208,0.245,25,SEQUENCE
432,0.36,0.477,5,SINGLY_LINKED_LIST
15888,0.331,0.08,194,HASH_MAP
1008,0.042,0.06,10,HASH_MAP
30576,0.637,0.234,445,HASH_MAP
3024,0.063,0.261,61,HASH_MAP
816,0.85,0.448,12,SINGLY_LINKED_LIST
10512,0.438,0.188,120,SEQUENCE
10896,0.227,0.407,139,SEQUENCE
4656,0.97,0.083,88,SINGLY_LINKED_LIST
35568,0.741,0.477,201,HASH_MAP
1488,0.62,0.131,10,SINGLY_LINKED_LIST
6288,0.655,0.285,64,SINGLY_LINKED_LIST
3024,0.315,0.358,18,SINGLY_LINKED_LIST
4656,0.194,0.047,46,HASH_MAP
4464,0.372,0.373,12,SINGLY_LINKED_LIST
21072,0.878,0.383,24,SINGLY_LINKED_LIST
2544,0.106,0.264,2,HASH_MAP
4368,0.091,0.092,47,SINGLY_LINKED_LIST
42288,0.881,0.44,506,HASH_MAP
11664,0.972,0.453,159,SINGLY_LINKED_LIST
8784,0.732,0.331,139,HASH_MAP
43248,0.901,0.089,826,SINGLY_LINKED_LIST
816,0.34,0.297,8,SEQUENCE
5616,0.936,0.271,1,HASH_MAP
528,0.055,0.128,5,HASH_MAP
11952,0.498,0.357,121,SEQUENCE
4704,0.784,0.036,4,SINGLY_LINKED_LIST
9648,0.402,0.29,66,TREE_MAP
30672,0.639,0.257,97,SINGLY_LINKED_LIST
5328,0.111,0.272,68,HASH_MAP
46896,0.977,0.469,336,SINGLY_LINKED_LIST
29328,0.611,0.039,590,HASH_MAP
912,0.152,0.347,4,SINGLY_LINKED_LIST
15408,0.642,0.411,254,SINGLY_LINKED_LIST
47664,0.993,0.156,571,HASH_MAP
18864,0.786,0.249,45,SEQUENCE
7056,0.147,0.234,144,SEQUENCE
2544,0.212,0.082,1,HASH_MAP
144,0.006,0.432,2,SEQUENCE
8688,0.724,0.206,127,SINGLY_LINKED_LIST
5712,0.476,0.252,18,HASH_MAP
9264,0.386,0.104,44,SEQUENCE
23088,0.962,0.407,468,SINGLY_LINKED_LIST
4224,0.704,0.344,20,SEQUENCE
1776,0.74,0.044,26,SINGLY_LINKED_LIST
11952,0.996,0.106,85,SINGLY_LINKED_LIST
1584,0.33,0.398,10,SINGLY_LINKED_LIST
21264,0.886,0.124,421,SINGLY_LINKED_LIST
33264,0.693,0.092,672,HASH_MAP
144,0.06,0.405,2,SINGLY_LINKED_LIST
1776,0.148,0.001,27,HASH_MAP
22992,0.958,0.19,5,SINGLY_LINKED_LIST
38448,0.801,0.208,559,HASH_MAP
7344,0.765,0.091,5,SEQUENCE
14352,0.299,0.307,216,SEQUENCE
21744,0.453,0.458,426,HASH_MAP
6576,0.548,0.453,102,SEQUENCE
30768,0.641,0.182,125,HASH_MAP
33168,0.691,0.067,239,TREE_MAP
28752,0.599,0.213,349,HASH_MAP
8016,0.835,0.292,89,SINGLY_LINKED_LIST
2832,0.118,0.07,29,HASH_MAP
22128,0.461,0.061,199,HASH_MAP
23952,0.499,0.038,390,HASH_MAP
816,0.085,0.352,9,TREE_MAP
22704,0.473,0.474,419,SEQUENCE
816,0.017,0.43,13,SINGLY_LINKED_LIST
6288,0.524,0.202,109,HASH_MAP
16944,0.706,0.408,242,SINGLY_LINKED_LIST
29328,0.611,0.156,51,HASH_MAP
384,0.064,0.311,5,TREE_MAP
1488,0.62,0.258,31,SINGLY_LINKED_LIST
6672,0.139,0.214,82,SEQUENCE
4368,0.091,0.459,24,SEQUENCE
25968,0.541,0.265,509,TREE_MAP
5808,0.968,0.014,98,SINGLY_LINKED_LIST
12624,0.263,0.264,43,SEQUENCE
44016,0.917,0.46,625,HASH_MAP
8016,0.167,0.318,159,SEQUENCE
21744,0.453,0.012,428,TREE_MAP
35568,0.741,0.344,454,HASH_MAP
9744,0.812,0.183,26,SINGLY_LINKED_LIST
26256,0.547,0.09,110,SEQUENCE
44688,0.931,0.234,295,HASH_MAP
8496,0.177,0.071,53,HASH_MAP
13872,0.289,0.471,14,SINGLY_LINKED_LIST
2832,0.118,0.084,42,SEQUENCE
8304,0.865,0.137,35,SINGLY_LINKED_LIST
1776,0.148,0.318,6,SINGLY_LINKED_LIST
28464,0.593,0.213,435,HASH_MAP
40848,0.851,0.411,746,HASH_MAP
4656,0.97,0.184,79,SEQUENCE
8688,0.724,0.351,91,TREE_MAP
27888,0.581,0.376,297,TREE_MAP
31056,0.647,0.324,243,SEQUENCE
1104,0.184,0.421,17,SINGLY_LINKED_LIST
576,0.096,0.126,2,SINGLY_LINKED_LIST
26448,0.551,0.387,320,HASH_MAP
17904,0.373,0.077,253,HASH_MAP
3024,0.504,0.29,21,SEQUENCE
144,0.15,0.31,0,SINGLY_LINKED_LIST
5616,0.468,0.098,35,SEQUENCE
35856,0.747,0.177,74,TREE_MAP
3792,0.395,0.143,34,HASH_MAP
33264,0.693,0.079,409,HASH_MAP
13392,0.558,0.138,151,HASH_MAP
5712,0.238,0.42,4,SINGLY_LINKED_LIST
4272,0.445,0.466,31,HASH_MAP
8496,0.885,0.466,177,HASH_MAP
1248,0.208,0.323,16,TREE_MAP
816,0.068,0.452,17,SINGLY_LINKED_LIST
1584,0.132,0.076,2,SINGLY_LINKED_LIST
8688,0.181,0.351,154,SEQUENCE
16272,0.339,0.149,288,HASH_MAP
6576,0.548,0.391,82,SINGLY_LINKED_LIST
6288,0.524,0.113,38,SINGLY_LINKED_LIST
10896,0.227,0.041,217,HASH_MAP
576,0.096,0.433,7,TREE_MAP
1296,0.216,0.183,21,SINGLY_LINKED_LIST
13776,0.287,0.394,67,SINGLY_LINKED_LIST
17328,0.361,0.4,224,HASH_MAP
4416,0.736,0.425,79,SINGLY_LINKED_LIST
9648,0.402,0.256,91,HASH_MAP
39792,0.829,0.446,165,SINGLY_LINKED_LIST
14352,0.598,0.447,31,HASH_MAP
22704,0.473,0.476,206,HASH_MAP
5136,0.214,0.413,76,SINGLY_LINKED_LIST
4608,0.768,0.144,55,HASH_MAP
3312,0.276,0.122,14,SINGLY_LINKED_LIST
15792,0.329,0.46,73,SINGLY_LINKED_LIST
16752,0.349,0.288,309,TREE_MAP
11568,0.964,0.4,49,SINGLY_LINKED_LIST
3984,0.332,0.074,50,SEQUENCE
16848,0.702,0.431,14,SINGLY_LINKED_LIST
1872,0.39,0.046,27,TREE_MAP
768,0.64,0.051,1,SINGLY_LINKED_LIST
4176,0.696,0.1,54,SINGLY_LINKED_LIST
25968,0.541,0.106,11,SINGLY_LINKED_LIST
3504,0.365,0.002,59,SEQUENCE
6672,0.695,0.324,67,SINGLY_LINKED_LIST
3984,0.664,0.458,43,SINGLY_LINKED_LIST
1584,0.165,0.075,2,HASH_MAP
2928,0.244,0.005,56,SEQUENCE
46416,0.967,0.26,155,HASH_MAP
30864,0.643,0.137,130,TREE_MAP
4176,0.435,0.089,49,HASH_MAP
528,0.275,0.329,7,SINGLY_LINKED_LIST
34608,0.721,0.444,229,HASH_MAP
1968,0.41,0.285,18,SINGLY_LINKED_LIST
8976,0.187,0.138,108,TREE_MAP
2736,0.57,0.043,25,SINGLY_LINKED_LIST
2544,0.053,0.051,16,TREE_MAP
16176,0.337,0.22,171,SEQUENCE
6864,0.143,0.174,96,SEQUENCE
8208,0.171,0.211,121,HASH_MAP
18384,0.383,0.127,348,HASH_MAP
11664,0.243,0.317,239,HASH_MAP
10032,0.836,0.019,8,HASH_MAP
2736,0.456,0.098,44,SINGLY_LINKED_LIST
12816,0.534,0.394,202,SINGLY_LINKED_LIST
13488,0.281,0.412,235,HASH_MAP
144,0.015,0.339,1,SINGLY_LINKED_LIST
15792,0.329,0.035,316,HASH_MAP
